あいぞのまなみ	愛園愛美
あいね	艾因
あぅ	哎小呜
あおみやよづり	蒼宮よづり
あかぎうぇん	赤城ウェン
あかばねようこ	赤羽葉子
あきられい	明楽レイ
あざ	阿萨
あすかひな	飛鳥ひな
あにゅううぱる	亞生うぱる
あまこもりのん	天籠りのん
あむ	甘音 あむ
あめき	雨纪
あめにわやえ	雨庭やえ
あめもりさよ	雨森小夜
あゆみ	入福步
いえながむぎ	家長むぎ
いがらしりか	五十嵐梨花
いつきさきょう	五木左京
いづみ	柚原いづみ
いなみらい	伊波ライ
いぬいとこ	戌亥とこ
うきうきゆにこ	浮々ゆにこ
うきゔぃおれた	浮奇・ヴィオレタ
うさみりと	宇佐美リト
うしみいちご	宇志海いちご
うづきこう	卯月コウ
える	える
えーちゃん	友人A
おうどりみぃな	桜鳥ミーナ
おのとら	男虎
かいせい	魁星
かいだはる	甲斐田晴
かがみはやと	加賀美ハヤト
かざり	瀬尾 カザリ
かたりべつむぐ	語部紡
かどうみかる	蝸堂みかる
かぶらきろこ	鏑木ろこ
かみながたいが	神永タイガ
かんだしょういち	神田笑一
かんらでいてぃー	甘楽デイティー
きおい	柚雨
きき	吉吉
きさら	綺沙良
きたみゆうせい	北見遊征
きららたまこ	雲母たまこ
ぎりみ	雾深
ぎるざれんさんせい	ギルザレンⅢ世
くずは	葛葉
くりえいた	九里詠太
くるすなつめ	来栖夏芽
くろいしば	黒井しば
けんもちとうや	剣持刀也
げっぱくるい	月白 累
げんづきとうじろう	弦月藤士郎
こういち	光一
こくようりら	黒燿リラ
ここじぇすた	ここ・じぇす汰
ここなみいるか	小々波いるか
こしみずとおる	小清水透
こずえもね	梢桃音
ことのは	言のハ
こぼかなえる	こぼ・かなえる
こやなぎろう	小柳ロウ
さいきいってつ	佐伯イッテツ
さおとめべりー	早乙女ベリー
さかきねす	榊ネス
さかよりそうま	酒寄颯馬
さくらりつき	桜凛月
ささきさく	笹木咲
ささは	天絆ささは
さや	沙夜
しおり	栞栞
しおん	紫咲シオン
しがりこ	司賀りこ
しきなぎあきら	四季凪アキラ
ししどうあかり	獅子堂あかり
しずかりん	静凛
しずく	白那 しずく
しのみやゆの	篠宮ゆの
しぶやはじめ	渋谷ハジメ
しゃん	勺
しゅせつこはく	秋雪こはく
しらさあやね	白砂あやね
しらゆきともえ	白雪巴
しろせいすみ	城瀬いすみ
しんどうじあこ	神童児丫子
じょーりきいち	ジョー・力一
すい	岁己
すぅすぅ	点酥
すおうさんご	周央サンゴ
すこやかな	健屋花那
すずきまさる	鈴木勝
すたーべあ	すたーべあ
すめらぎれお	皇れお
そらほしきらめ	空星きらめ
たかみやりおん	鷹宮リオン
たちつてとと	立伝都々
たつまきちせ	龍巻ちせ
たびびと	度人
ちゆう	千幽
つかはらだいち	塚原大地
つきのみと	月ノ美兎
つのまきわため	角巻わため
つむぎこかげ	紡木 こかげ
とがわののは	十河ののは
ときのそら	ときのそら
とっち	桃星
とどろききょうこ	轟京子
ながおけい	長尾景
なぎさ	米汀
なぎさとらうと	渚トラウト
ななせすずな	七瀬すず菜
ななみ	七海
ねこまたおかゆ	猫又おかゆ
ねこやしきみく	猫屋敷美紅
のり	能能
はかせふゆき	葉加瀬冬雪
はすみさひろ	羽澄さひろ
はつせ	初濑
はやせそう	早瀬走
はやままりん	葉山舞鈴
はるさきえある	春崎エアル
はれい	花礼
ぱこ	帕可
ひかり	飛良ひかり
ひぐちかえで	樋口楓
ひすみ	緋墨
ひとつばしあやと	一橋綾人
ひなの	橘 ひなの
ひばちまな	緋八マナ
ぴかまる	ぴかまる NS-PT01
ふうらかなと	風楽奏斗
ふしみがく	伏見ガク
ふみのたまき	文野環
ふわみなと	不破湊
ぷりんららもど	ぷりん・らら・もーど
ぷわぷわぽぷら	ぷわぷわぽぷら
べに	八雲 べに
ほしかわさら	星川サラ
ほしるべしょう	星導ショウ
ぽめろぱんち	ぽめろ・ぱんち
ぽんとねい	先斗寧
まいもとけいすけ	舞元啓介
ましろめめ	ましろ爻
まちたちま	町田ちま
まつかいまお	魔使マオ
まゆみ	勾檀
みこがみことね	御子神琴音
みちや	未知夜
みつり	三理
みづき	弥月
みなとん	みなとん。
みなもまどか	水面まどか
むらくもかげつ	叢雲カゲツ
めい	命依
めと	小森 めと
めめ	沐毛
めめもりあん	芽々守あん
めろでぃ	泽音
もののべありす	物述有栖
もふ	犬绒
ももすずねね	桃鈴ねね
もりなかかざき	森中花咲
やぎみちゆき	八木迪之
やぎゅうしの	夜牛詩乃
やぐるまりね	矢車りね
やしろきずく	社築
やまがみかるた	山神カルタ
やまだりゅういちろう	山田龍一郎
ゆい	緋月 ゆい
ゆうひ	千燈 ゆうひ
ゆうひりり	夕陽リリ
ゆきえ	雪绘
ゆきしょ	雪烛
ゆきしろまひろ	雪城眞尋
ゆづきろあ	夢月ロア
ゆめおいかける	夢追翔
よるみれな	夜見れな
りあ	瑞娅
りゅうしぇん	緑仙
りりり	羽流鷲りりり
りん	龍ヶ崎リン
りんどうみこと	竜胆尊
るい	瀬島るい
るみなすすいと	るみなす・すいーと
れい	漆瀬レイ
ろぼこさん	ロボ子さん
わくひめ	惑姫
わたらいひばり	渡会雲雀
